Text(1) | Tiempo: 36097 ms | TextId: So01.Do01.V2017-06-29.Se02.T01 | No. Concepts: 18 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(18) | Tiempo: 13662 ms | TextId: So01.Do03.V2017-06-29.Se04.T02 | No. Concepts: 10 | Doc: So01.Do03 - 2017-06-29 | Section: Signs and symptoms 
Text(19) | Tiempo: 7967 ms | TextId: So01.Do04.V2017-06-29.Se01.T01 | No. Concepts: 5 | Doc: So01.Do04 - 2017-06-29 | Section: Cause 
Text(20) | Tiempo: 330 ms | TextId: So01.Do04.V2017-06-29.Se02.T01 | No. Concepts: 1 | Doc: So01.Do04 - 2017-06-29 | Section: Diagnosis 
Text(21) | Tiempo: 3333 ms | TextId: So01.Do04.V2017-06-29.Se02.T02 | No. Concepts: 3 | Doc: So01.Do04 - 2017-06-29 | Section: Diagnosis 
Text(22) | Tiempo: 1840 ms | TextId: So01.Do04.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do04 - 2017-06-29 | Section: Diagnosis 
Text(23) | Tiempo: 107 ms | TextId: So01.Do04.V2017-06-29.Se02.T04 | No. Concepts: 1 | Doc: So01.Do04 - 2017-06-29 | Section: Diagnosis 
Text(24) | Tiempo: 7101 ms | TextId: So01.Do04.V2017-06-29.Se04.T01 | No. Concepts: 7 | Doc: So01.Do04 - 2017-06-29 | Section: Signs and symptoms 
Text(25) | Tiempo: 2475 ms | TextId: So01.Do04.V2017-06-29.Se04.T02 | No. Concepts: 3 | Doc: So01.Do04 - 2017-06-29 | Section: Signs and symptoms 
Text(26) | Tiempo: 18268 ms | TextId: So01.Do04.V2017-06-29.Se04.T03 | No. Concepts: 13 | Doc: So01.Do04 - 2017-06-29 | Section: Signs and symptoms 
Text(27) | Tiempo: 19014 ms | TextId: So01.Do05.V2017-06-29.Se02.T01 | No. Concepts: 12 | Doc: So01.Do05 - 2017-06-29 | Section: Diagnosis 
Text(28) | Tiempo: 1588 ms | TextId: So01.Do05.V2017-06-29.Se02.T02 | No. Concepts: 2 | Doc: So01.Do05 - 2017-06-29 | Section: Diagnosis 
Text(29) | Tiempo: 1662 ms | TextId: So01.Do05.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do05 - 2017-06-29 | Section: Diagnosis 
Text(30) | Tiempo: 5206 ms | TextId: So01.Do05.V2017-06-29.Se02.T04 | No. Concepts: 2 | Doc: So01.Do05 - 2017-06-29 | Section: Diagnosis 
Text(31) | Tiempo: 2308 ms | TextId: So01.Do05.V2017-06-29.Se04.T01 | No. Concepts: 2 | Doc: So01.Do05 - 2017-06-29 | Section: Signs and symptoms 
Text(32) | Tiempo: 1468 ms | TextId: So01.Do05.V2017-06-29.Se04.T02 | No. Concepts: 2 | Doc: So01.Do05 - 2017-06-29 | Section: Signs and symptoms 
Text(33) | Tiempo: 4635 ms | TextId: So01.Do06.V2017-06-29.Se02.T01 | No. Concepts: 5 | Doc: So01.Do06 - 2017-06-29 | Section: Diagnosis 
Text(34) | Tiempo: 44296 ms | TextId: So01.Do06.V2017-06-29.Se02.T02 | No. Concepts: 22 | Doc: So01.Do06 - 2017-06-29 | Section: Diagnosis 
Text(35) | Tiempo: 2535 ms | TextId: So01.Do06.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do06 - 2017-06-29 | Section: Diagnosis 
Text(36) | Tiempo: 19359 ms | TextId: So01.Do06.V2017-06-29.Se04.T01 | No. Concepts: 15 | Doc: So01.Do06 - 2017-06-29 | Section: Signs and symptoms 
Text(37) | Tiempo: 5658 ms | TextId: So01.Do06.V2017-06-29.Se04.T02 | No. Concepts: 5 | Doc: So01.Do06 - 2017-06-29 | Section: Signs and symptoms 
Text(38) | Tiempo: 5676 ms | TextId: So01.Do06.V2017-06-29.Se04.T03 | No. Concepts: 5 | Doc: So01.Do06 - 2017-06-29 | Section: Signs and symptoms 
Text(39) | Tiempo: 18352 ms | TextId: So01.Do07.V2017-06-29.Se02.T01 | No. Concepts: 14 | Doc: So01.Do07 - 2017-06-29 | Section: Diagnosis 
Text(40) | Tiempo: 15392 ms | TextId: So01.Do07.V2017-06-29.Se02.T02 | No. Concepts: 9 | Doc: So01.Do07 - 2017-06-29 | Section: Diagnosis 
Text(41) | Tiempo: 6415 ms | TextId: So01.Do07.V2017-06-29.Se02.T03 | No. Concepts: 6 | Doc: So01.Do07 - 2017-06-29 | Section: Diagnosis 
Text(42) | Tiempo: 13278 ms | TextId: So01.Do07.V2017-06-29.Se04.T01 | No. Concepts: 9 | Doc: So01.Do07 - 2017-06-29 | Section: Signs and symptoms 
Text(43) | Tiempo: 7170 ms | TextId: So01.Do07.V2017-06-29.Se04.T02 | No. Concepts: 5 | Doc: So01.Do07 - 2017-06-29 | Section: Signs and symptoms 
Text(44) | Tiempo: 12559 ms | TextId: So01.Do07.V2017-06-29.Se04.T03 | No. Concepts: 9 | Doc: So01.Do07 - 2017-06-29 | Section: Signs and symptoms 
Text(45) | Tiempo: 209 ms | TextId: So01.Do08.V2017-06-29.Se02.T01 | No. Concepts: 1 | Doc: So01.Do08 - 2017-06-29 | Section: Diagnosis 
Text(46) | Tiempo: 7643 ms | TextId: So01.Do08.V2017-06-29.Se02.T02 | No. Concepts: 5 | Doc: So01.Do08 - 2017-06-29 | Section: Diagnosis 
Text(47) | Tiempo: 10386 ms | TextId: So01.Do09.V2017-06-29.Se02.T01 | No. Concepts: 10 | Doc: So01.Do09 - 2017-06-29 | Section: Diagnosis 
Text(48) | Tiempo: 7884 ms | TextId: So01.Do09.V2017-06-29.Se02.T02 | No. Concepts: 6 | Doc: So01.Do09 - 2017-06-29 | Section: Diagnosis 
Text(49) | Tiempo: 2584 ms | TextId: So01.Do09.V2017-06-29.Se02.T03 | No. Concepts: 3 | Doc: So01.Do09 - 2017-06-29 | Section: Diagnosis 
Text(50) | Tiempo: 167 ms | TextId: So01.Do09.V2017-06-29.Se04.T01 | No. Concepts: 1 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(51) | Tiempo: 8171 ms | TextId: So01.Do09.V2017-06-29.Se04.T02 | No. Concepts: 7 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(52) | Tiempo: 3014 ms | TextId: So01.Do09.V2017-06-29.Se04.T03 | No. Concepts: 3 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(53) | Tiempo: 31 ms | TextId: So01.Do09.V2017-06-29.Se04.T04 | No. Concepts: 1 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(54) | Tiempo: 87 ms | TextId: So01.Do09.V2017-06-29.Se04.T05 | No. Concepts: 1 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(55) | Tiempo: 8410 ms | TextId: So01.Do09.V2017-06-29.Se04.T06 | No. Concepts: 7 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(56) | Tiempo: 17088 ms | TextId: So01.Do09.V2017-06-29.Se04.T07 | No. Concepts: 4 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(57) | Tiempo: 151 ms | TextId: So01.Do09.V2017-06-29.Se04.T08 | No. Concepts: 1 | Doc: So01.Do09 - 2017-06-29 | Section: Signs and symptoms 
Text(58) | Tiempo: 34304 ms | TextId: So01.Do10.V2017-06-29.Se02.T01 | No. Concepts: 11 | Doc: So01.Do10 - 2017-06-29 | Section: Diagnosis 
Text(59) | Tiempo: 10435 ms | TextId: So01.Do10.V2017-06-29.Se02.T02 | No. Concepts: 6 | Doc: So01.Do10 - 2017-06-29 | Section: Diagnosis 
Text(60) | Tiempo: 12459 ms | TextId: So01.Do10.V2017-06-29.Se02.T03 | No. Concepts: 7 | Doc: So01.Do10 - 2017-06-29 | Section: Diagnosis 
Text(61) | Tiempo: 3194 ms | TextId: So01.Do10.V2017-06-29.Se02.T04 | No. Concepts: 2 | Doc: So01.Do10 - 2017-06-29 | Section: Diagnosis 
Text(62) | Tiempo: 45971 ms | TextId: So01.Do10.V2017-06-29.Se04.T01 | No. Concepts: 20 | Doc: So01.Do10 - 2017-06-29 | Section: Signs and symptoms 
Text(63) | Tiempo: 27 ms | TextId: So01.Do10.V2017-06-29.Se04.T02 | No. Concepts: 1 | Doc: So01.Do10 - 2017-06-29 | Section: Signs and symptoms 
Text(64) | Tiempo: 13312 ms | TextId: So01.Do10.V2017-06-29.Se04.T03 | No. Concepts: 7 | Doc: So01.Do10 - 2017-06-29 | Section: Signs and symptoms 
Text(65) | Tiempo: 32701 ms | TextId: So01.Do10.V2017-06-29.Se04.T04 | No. Concepts: 10 | Doc: So01.Do10 - 2017-06-29 | Section: Signs and symptoms 
Text(66) | Tiempo: 29 ms | TextId: So01.Do10.V2017-06-29.Se04.T05 | No. Concepts: 1 | Doc: So01.Do10 - 2017-06-29 | Section: Signs and symptoms 
Text(67) | Tiempo: 37713 ms | TextId: So01.Do10.V2017-06-29.Se04.T06 | No. Concepts: 7 | Doc: So01.Do10 - 2017-06-29 | Section: Signs and symptoms 
Text(68) | Tiempo: 1914 ms | TextId: So01.Do10.V2017-06-29.Se04.T07 | No. Concepts: 3 | Doc: So01.Do10 - 2017-06-29 | Section: Signs and symptoms 
Text(69) | Tiempo: 327 ms | TextId: So01.Do1000.V2017-06-29.Se04.T01 | No. Concepts: 1 | Doc: So01.Do1000 - 2017-06-29 | Section: Signs and symptoms 
Text(70) | Tiempo: 339 ms | TextId: So01.Do1000.V2017-06-29.Se04.T02 | No. Concepts: 1 | Doc: So01.Do1000 - 2017-06-29 | Section: Signs and symptoms 
Text(71) | Tiempo: 2766 ms | TextId: So01.Do1000.V2017-06-29.Se04.T03 | No. Concepts: 2 | Doc: So01.Do1000 - 2017-06-29 | Section: Signs and symptoms 
Text(72) | Tiempo: 1698 ms | TextId: So01.Do1000.V2017-06-29.Se04.T04 | No. Concepts: 2 | Doc: So01.Do1000 - 2017-06-29 | Section: Signs and symptoms 
Text(73) | Tiempo: 4730 ms | TextId: So01.Do1001.V2017-06-29.Se02.T01 | No. Concepts: 4 | Doc: So01.Do1001 - 2017-06-29 | Section: Diagnosis 
Text(74) | Tiempo: 1177 ms | TextId: So01.Do1001.V2017-06-29.Se02.T02 | No. Concepts: 2 | Doc: So01.Do1001 - 2017-06-29 | Section: Diagnosis 
Text(75) | Tiempo: 7530 ms | TextId: So01.Do1001.V2017-06-29.Se02.T03 | No. Concepts: 6 | Doc: So01.Do1001 - 2017-06-29 | Section: Diagnosis 
Text(76) | Tiempo: 1394 ms | TextId: So01.Do1001.V2017-06-29.Se02.T04 | No. Concepts: 2 | Doc: So01.Do1001 - 2017-06-29 | Section: Diagnosis 
Text(77) | Tiempo: 1375 ms | TextId: So01.Do1001.V2017-06-29.Se02.T05 | No. Concepts: 2 | Doc: So01.Do1001 - 2017-06-29 | Section: Diagnosis 
Text(78) | Tiempo: 38243 ms | TextId: So01.Do1001.V2017-06-29.Se04.T01 | No. Concepts: 26 | Doc: So01.Do1001 - 2017-06-29 | Section: Signs and symptoms 
Text(79) | Tiempo: 4564 ms | TextId: So01.Do1001.V2017-06-29.Se04.T02 | No. Concepts: 4 | Doc: So01.Do1001 - 2017-06-29 | Section: Signs and symptoms 
Text(80) | Tiempo: 2762 ms | TextId: So01.Do1002.V2017-06-29.Se02.T01 | No. Concepts: 3 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(81) | Tiempo: 8577 ms | TextId: So01.Do1002.V2017-06-29.Se02.T02 | No. Concepts: 6 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(82) | Tiempo: 1271 ms | TextId: So01.Do1002.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(83) | Tiempo: 9814 ms | TextId: So01.Do1002.V2017-06-29.Se02.T04 | No. Concepts: 8 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(84) | Tiempo: 1059 ms | TextId: So01.Do1002.V2017-06-29.Se02.T05 | No. Concepts: 2 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(85) | Tiempo: 15262 ms | TextId: So01.Do1002.V2017-06-29.Se02.T06 | No. Concepts: 12 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(86) | Tiempo: 8814 ms | TextId: So01.Do1002.V2017-06-29.Se02.T07 | No. Concepts: 8 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(87) | Tiempo: 34201 ms | TextId: So01.Do1002.V2017-06-29.Se02.T08 | No. Concepts: 7 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(88) | Tiempo: 1545 ms | TextId: So01.Do1002.V2017-06-29.Se02.T09 | No. Concepts: 2 | Doc: So01.Do1002 - 2017-06-29 | Section: Diagnosis 
Text(89) | Tiempo: 4838 ms | TextId: So01.Do1002.V2017-06-29.Se04.T01 | No. Concepts: 1 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(90) | Tiempo: 16 ms | TextId: So01.Do1002.V2017-06-29.Se04.T02 | No. Concepts: 1 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(91) | Tiempo: 94 ms | TextId: So01.Do1002.V2017-06-29.Se04.T03 | No. Concepts: 1 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(92) | Tiempo: 13 ms | TextId: So01.Do1002.V2017-06-29.Se04.T04 | No. Concepts: 1 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(93) | Tiempo: 19 ms | TextId: So01.Do1002.V2017-06-29.Se04.T05 | No. Concepts: 1 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(94) | Tiempo: 13 ms | TextId: So01.Do1002.V2017-06-29.Se04.T06 | No. Concepts: 1 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(95) | Tiempo: 7377 ms | TextId: So01.Do1002.V2017-06-29.Se04.T07 | No. Concepts: 4 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(96) | Tiempo: 12276 ms | TextId: So01.Do1002.V2017-06-29.Se04.T08 | No. Concepts: 9 | Doc: So01.Do1002 - 2017-06-29 | Section: Signs and symptoms 
Text(97) | Tiempo: 20293 ms | TextId: So01.Do1003.V2017-06-29.Se02.T01 | No. Concepts: 16 | Doc: So01.Do1003 - 2017-06-29 | Section: Diagnosis 
Text(98) | Tiempo: 7139 ms | TextId: So01.Do1003.V2017-06-29.Se02.T02 | No. Concepts: 7 | Doc: So01.Do1003 - 2017-06-29 | Section: Diagnosis 
Text(99) | Tiempo: 2135 ms | TextId: So01.Do1003.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do1003 - 2017-06-29 | Section: Diagnosis 
Text(100) | Tiempo: 670 ms | TextId: So01.Do1003.V2017-06-29.Se02.T04 | No. Concepts: 1 | Doc: So01.Do1003 - 2017-06-29 | Section: Diagnosis 
Text(101) | Tiempo: 28860 ms | TextId: So01.Do1003.V2017-06-29.Se04.T01 | No. Concepts: 6 | Doc: So01.Do1003 - 2017-06-29 | Section: Signs and symptoms 
Text(102) | Tiempo: 13121 ms | TextId: So01.Do1003.V2017-06-29.Se04.T02 | No. Concepts: 11 | Doc: So01.Do1003 - 2017-06-29 | Section: Signs and symptoms 
Text(103) | Tiempo: 7246 ms | TextId: So01.Do1004.V2017-06-29.Se02.T01 | No. Concepts: 6 | Doc: So01.Do1004 - 2017-06-29 | Section: Diagnosis 
Text(104) | Tiempo: 12970 ms | TextId: So01.Do1004.V2017-06-29.Se04.T01 | No. Concepts: 11 | Doc: So01.Do1004 - 2017-06-29 | Section: Signs and symptoms 
Text(105) | Tiempo: 25627 ms | TextId: So01.Do1006.V2017-06-29.Se01.T01 | No. Concepts: 4 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(106) | Tiempo: 173 ms | TextId: So01.Do1006.V2017-06-29.Se01.T02 | No. Concepts: 1 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(107) | Tiempo: 4496 ms | TextId: So01.Do1006.V2017-06-29.Se01.T03 | No. Concepts: 4 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(108) | Tiempo: 8442 ms | TextId: So01.Do1006.V2017-06-29.Se01.T04 | No. Concepts: 7 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(109) | Tiempo: 20784 ms | TextId: So01.Do1006.V2017-06-29.Se01.T05 | No. Concepts: 12 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(110) | Tiempo: 27 ms | TextId: So01.Do1006.V2017-06-29.Se01.T06 | No. Concepts: 1 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(111) | Tiempo: 23 ms | TextId: So01.Do1006.V2017-06-29.Se01.T07 | No. Concepts: 1 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(112) | Tiempo: 27 ms | TextId: So01.Do1006.V2017-06-29.Se01.T08 | No. Concepts: 1 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(113) | Tiempo: 2711 ms | TextId: So01.Do1006.V2017-06-29.Se01.T09 | No. Concepts: 3 | Doc: So01.Do1006 - 2017-06-29 | Section: Cause 
Text(114) | Tiempo: 12731 ms | TextId: So01.Do1006.V2017-06-29.Se02.T01 | No. Concepts: 10 | Doc: So01.Do1006 - 2017-06-29 | Section: Diagnosis 
Text(115) | Tiempo: 1792 ms | TextId: So01.Do1006.V2017-06-29.Se02.T02 | No. Concepts: 2 | Doc: So01.Do1006 - 2017-06-29 | Section: Diagnosis 
Text(116) | Tiempo: 879 ms | TextId: So01.Do1006.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do1006 - 2017-06-29 | Section: Diagnosis 
Text(117) | Tiempo: 54693 ms | TextId: So01.Do1006.V2017-06-29.Se02.T04 | No. Concepts: 18 | Doc: So01.Do1006 - 2017-06-29 | Section: Diagnosis 
Text(118) | Tiempo: 17910 ms | TextId: So01.Do1006.V2017-06-29.Se04.T01 | No. Concepts: 14 | Doc: So01.Do1006 - 2017-06-29 | Section: Signs and symptoms 
Text(119) | Tiempo: 12461 ms | TextId: So01.Do1006.V2017-06-29.Se04.T02 | No. Concepts: 8 | Doc: So01.Do1006 - 2017-06-29 | Section: Signs and symptoms 
Text(120) | Tiempo: 16443 ms | TextId: So01.Do1006.V2017-06-29.Se04.T03 | No. Concepts: 10 | Doc: So01.Do1006 - 2017-06-29 | Section: Signs and symptoms 
Text(121) | Tiempo: 4003 ms | TextId: So01.Do1007.V2017-06-29.Se01.T01 | No. Concepts: 4 | Doc: So01.Do1007 - 2017-06-29 | Section: Cause 
Text(122) | Tiempo: 5935 ms | TextId: So01.Do1007.V2017-06-29.Se04.T01 | No. Concepts: 6 | Doc: So01.Do1007 - 2017-06-29 | Section: Signs and symptoms 
Text(123) | Tiempo: 5531 ms | TextId: So01.Do1008.V2017-06-29.Se01.T01 | No. Concepts: 5 | Doc: So01.Do1008 - 2017-06-29 | Section: Cause 
Text(124) | Tiempo: 3830 ms | TextId: So01.Do1008.V2017-06-29.Se02.T01 | No. Concepts: 5 | Doc: So01.Do1008 - 2017-06-29 | Section: Diagnosis 
Text(125) | Tiempo: 13813 ms | TextId: So01.Do1008.V2017-06-29.Se02.T02 | No. Concepts: 7 | Doc: So01.Do1008 - 2017-06-29 | Section: Diagnosis 
Text(126) | Tiempo: 3702 ms | TextId: So01.Do1008.V2017-06-29.Se02.T03 | No. Concepts: 4 | Doc: So01.Do1008 - 2017-06-29 | Section: Diagnosis 
Text(127) | Tiempo: 38454 ms | TextId: So01.Do1008.V2017-06-29.Se02.T04 | No. Concepts: 21 | Doc: So01.Do1008 - 2017-06-29 | Section: Diagnosis 
Text(128) | Tiempo: 13048 ms | TextId: So01.Do1008.V2017-06-29.Se04.T01 | No. Concepts: 13 | Doc: So01.Do1008 - 2017-06-29 | Section: Signs and symptoms 
Text(129) | Tiempo: 16166 ms | TextId: So01.Do1008.V2017-06-29.Se04.T02 | No. Concepts: 9 | Doc: So01.Do1008 - 2017-06-29 | Section: Signs and symptoms 
Text(130) | Tiempo: 5868 ms | TextId: So01.Do1008.V2017-06-29.Se04.T03 | No. Concepts: 6 | Doc: So01.Do1008 - 2017-06-29 | Section: Signs and symptoms 
Text(131) | Tiempo: 19017 ms | TextId: So01.Do1008.V2017-06-29.Se04.T04 | No. Concepts: 11 | Doc: So01.Do1008 - 2017-06-29 | Section: Signs and symptoms 
Text(132) | Tiempo: 120139 ms | TextId: So01.Do1009.V2017-06-29.Se02.T01 | No. Concepts: 8 | Doc: So01.Do1009 - 2017-06-29 | Section: Diagnosis 
Text(133) | Tiempo: 128353 ms | TextId: So01.Do1009.V2017-06-29.Se02.T02 | No. Concepts: 8 | Doc: So01.Do1009 - 2017-06-29 | Section: Diagnosis 
Text(134) | Tiempo: 25008 ms | TextId: So01.Do1009.V2017-06-29.Se02.T03 | No. Concepts: 4 | Doc: So01.Do1009 - 2017-06-29 | Section: Diagnosis 
Text(135) | Tiempo: 7306 ms | TextId: So01.Do1009.V2017-06-29.Se02.T04 | No. Concepts: 5 | Doc: So01.Do1009 - 2017-06-29 | Section: Diagnosis 
Text(136) | Tiempo: 2480 ms | TextId: So01.Do1009.V2017-06-29.Se04.T01 | No. Concepts: 3 | Doc: So01.Do1009 - 2017-06-29 | Section: Signs and symptoms 
Text(137) | Tiempo: 10756 ms | TextId: So01.Do1009.V2017-06-29.Se04.T02 | No. Concepts: 10 | Doc: So01.Do1009 - 2017-06-29 | Section: Signs and symptoms 
Text(138) | Tiempo: 110 ms | TextId: So01.Do1009.V2017-06-29.Se04.T03 | No. Concepts: 1 | Doc: So01.Do1009 - 2017-06-29 | Section: Signs and symptoms 
Text(139) | Tiempo: 101 ms | TextId: So01.Do1009.V2017-06-29.Se04.T04 | No. Concepts: 1 | Doc: So01.Do1009 - 2017-06-29 | Section: Signs and symptoms 
Text(140) | Tiempo: 19423 ms | TextId: So01.Do1009.V2017-06-29.Se04.T05 | No. Concepts: 15 | Doc: So01.Do1009 - 2017-06-29 | Section: Signs and symptoms 
Text(141) | Tiempo: 13951 ms | TextId: So01.Do1009.V2017-06-29.Se04.T06 | No. Concepts: 11 | Doc: So01.Do1009 - 2017-06-29 | Section: Signs and symptoms 
Text(142) | Tiempo: 10383 ms | TextId: So01.Do101.V2017-06-29.Se02.T01 | No. Concepts: 9 | Doc: So01.Do101 - 2017-06-29 | Section: Diagnosis 
Text(143) | Tiempo: 939 ms | TextId: So01.Do1010.V2017-06-29.Se02.T01 | No. Concepts: 2 | Doc: So01.Do1010 - 2017-06-29 | Section: Diagnosis 
Text(144) | Tiempo: 113 ms | TextId: So01.Do1010.V2017-06-29.Se02.T02 | No. Concepts: 1 | Doc: So01.Do1010 - 2017-06-29 | Section: Diagnosis 
Text(145) | Tiempo: 134 ms | TextId: So01.Do1010.V2017-06-29.Se02.T03 | No. Concepts: 1 | Doc: So01.Do1010 - 2017-06-29 | Section: Diagnosis 
Text(146) | Tiempo: 2534 ms | TextId: So01.Do1010.V2017-06-29.Se02.T04 | No. Concepts: 3 | Doc: So01.Do1010 - 2017-06-29 | Section: Diagnosis 
Text(147) | Tiempo: 7423 ms | TextId: So01.Do1010.V2017-06-29.Se02.T05 | No. Concepts: 7 | Doc: So01.Do1010 - 2017-06-29 | Section: Diagnosis 
Text(148) | Tiempo: 1933 ms | TextId: So01.Do1010.V2017-06-29.Se04.T01 | No. Concepts: 3 | Doc: So01.Do1010 - 2017-06-29 | Section: Signs and symptoms 
Text(149) | Tiempo: 25718 ms | TextId: So01.Do1010.V2017-06-29.Se04.T02 | No. Concepts: 7 | Doc: So01.Do1010 - 2017-06-29 | Section: Signs and symptoms 
Text(150) | Tiempo: 11150 ms | TextId: So01.Do1010.V2017-06-29.Se04.T03 | No. Concepts: 8 | Doc: So01.Do1010 - 2017-06-29 | Section: Signs and symptoms 
Text(151) | Tiempo: 2037 ms | TextId: So01.Do1010.V2017-06-29.Se04.T04 | No. Concepts: 2 | Doc: So01.Do1010 - 2017-06-29 | Section: Signs and symptoms 
Text(152) | Tiempo: 103 ms | TextId: So01.Do1010.V2017-06-29.Se04.T05 | No. Concepts: 1 | Doc: So01.Do1010 - 2017-06-29 | Section: Signs and symptoms 
Text(153) | Tiempo: 41 ms | TextId: So01.Do1010.V2017-06-29.Se04.T06 | No. Concepts: 1 | Doc: So01.Do1010 - 2017-06-29 | Section: Signs and symptoms 
